notation,prefLabel,altLabel,definition,broader,related,source,closeMatch,relatedMatch,seeAlso,broadMatch,narrower 
FC3322,Ausstellungsentnahme@de|exhibition withdrawal@en,,Das Objekt war ausgestellt und wurde zur Bearbeitung aus der Ausstellung/der Vitirine entnommen.,DBC278,,,,,,,
GC6983,Rückgabe aus Leihverkehr@de|return from loans@en,,Das Objekt war an eine andere Einrichtung verliehen und kommt im Zuge der Rückgabe zur Evaluierung des Zustandes in die Restaurierungswerkstatt.,DBC278,,,,,,,
F52262,Depotlagerung@de|depot storage@en,,Das Objekt wurde bis zur Einlieferung in die Restaurierungswerkstatt im Museumsdepot aufbewahrt,DBC278,,,,,,,
A8ABBA,klimatisierte Lagerung@de|climate-controlled storage@en,,"Das Objekt wurde bis zur Einlieferung in die Restaurierungswerkstatt unter kontrollierten, klimatischen Bedingungen aufbewahrt.",DBC278,,,,,,,
C948F2,Gefrierschrank@de|freezer@en,,Die bisherige Lagerung des Objektes erfolgte tiefgefroren in einem Gefrierschrank,A8ABBA,,,,,,,
D21459,Kühlschrank@de|refrigerator@en,,Die bisherige Lagerung des Objektes erfolgte gekühlt in einem Kühlschrank,A8ABBA,,,,,,,
C2241C,Klimaraum@de|climate room@en,Klimakammer@de,"Das Objekt lagerte bisher in einem Raum, der über eine kontrollierte Klimaregulierung verfügte und auf für das Objekt optimale klimatische Bedingungen eingestellt war",A8ABBA,,,,,,,
A2BB42,klimatisierte Individualverpackung@de|climate-controlled individual packaging@en,Klimakiste@de|Klimabox@de,"Das Objekt lagerte in einer individuellen Verpackung, die z.B. mittels Trockenmittel oder anderen Reagenzien auf einen speziellen Klimarwert eingestellt war.",A8ABBA,,,,,,,
G79CA9,unklimatisierte Lagerung@de|unclimatized storage@en,,"Die Lagerung erfolgte ohne spezielle auf das Objekt abgestimmte, kontrollierte klimatische Bedingungen",DBC278,,,,,,,
CA1BC5,Objektuntersuchung@de|examination@en,,"Beschaffung und Sammlung von Informationen über den Zustand eines Objektes, anhand derer das Restaurierungs-/Konservierungskonzept und/oder die weiteren Lagerungs- und Handhabungsempefehlungen formuliert werden",C4BCF8,,"DIN EN 15898:2020-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe; Dreisprachige Fassung EN 15898:2019, Deutsches Institut für Normung.",,http://vocab.getty.edu/aat/300137546|http://vocab.getty.edu/aat/300226216,,,
BC5B57,[Untersuchungsergebnisse]@de|examination results@en,Diagnose@de,strukturierender Sammelbegriff für die Benennung der bei der Objektuntersuchung festgestellten Beobachtungen und Auswertungen hinsichtlich der Gesamtbeschaffenheit des Objektes und dessen Ursache,CA1BC5,,"DIN EN 15898:2020-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe; Dreisprachige Fassung EN 15898:2019, Deutsches Institut für Normung.",,http://vocab.getty.edu/aat/300137593,,,
GD172G,Materialbestimmung@de,,"Identifizierung des (der) Material(ien), aus dem (denen) das Objekt besteht.",BC5B57,B51DAF,,,,,,
D6BCC2,Technologischer Befund@de,,"Identifizierung der Techniken, Verfahren und Konstruktionsprinzipien, die zur Herstellung des Objektes eingesetzt wurden.",BC5B57,G76B7G,,,,,,
F8F594,Herstellungstechnik@de,Produktionstechnik@de,basierend auf den festgestellten Spuren angenommene Art und Weise wie das Objekt hergestellt worden ist,D6BCC2,,,,,,,
A15F83,Fügetechnik@de,Verbindungstechnik@de,"Oberbegriff für Techniken, die zwei oder mehr Teile mit einander verbindet.",F8F594,,,,,,,
G6GG4C,gelötet@de,Lötung@de,"Fügetechnik, bei der metallische Werkstücke durch geschmolzene metallische Bindemittel (Lote) stoffschlüssig verbunden werden. Dabei wird die zu lötende Stelle erhitzt, bis das Lot schmilzt und die Fuge der Verbindungsstelle ausfüllt. Die zu verbindenden Metalle bleiben während der Lötung im festen Zustand und werden durch die Diffusion des geschmolzenen Lotes verbunden.",A15F83,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S.319.",,,,,
G3GB79,hartgelötet@de,Hartlötung@de,"Lötung mit hochschmelzenden Loten (Hartloten), bei einer Arbeitstemperatur über 650°C.",G6GG4C,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S.319.",,,,,
B7A13A,weichgelötet@de,Weichlötung@de,"Lötung mit niedrigschmelzenden Loten (Weichloten), bei einer Arbeitstemperatur unterhalb 450°C.",G6GG4C,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S.319.",,,,,
BABA94,geschweißt@de,Schweißung@de|Verschweißung@de|verschweißt@de,"stoffschlüssige Fügetechnik, bei der Materialien mit annähernd gleichem Schmelzintervall durch Wärme und/oder Druck in einen flüssigen oder plastischen Zustand versetzt werden, um sie miteinander zu vereinigen. Dabei kann mit oder ohne Zusatzwerkstoffen oder Flussmitteln gearbeitet werden.",A15F83,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 351| Technisch-wissenschaftliche Grundlagen des Goldschmiedens Teil 1. Grundtechniken der Herstellung von Schmuck und Gerät (Wiesbaden 2016), S. 148.",,,,,
DA7G45,angegossen@de,Anguss@de,,A15F83,,,,,,,
C388AA,Überfangguss@de,,,DA7G45,,,,,,,
AC92GG,Millefiori@de,,,A15F83,,,,,,,
FB76BC,geklebt@de,Klebung (Herstellungstechnik)@de|verklebt@de,"Fügetechnik, bei der Werkteile mit Hilfe von flüssigen, pastenartigen oder festen Werkstoffen (Klebstoffe) mit einander verbunden werden. Die Haftung entsteht dabei aus Adhäsionskräften zwischen Klebstoff und Verbundfläche und Kohäsionskräften zwischen den Molekülen innerhalb des Klebstoffes.",A15F83,,"DIN EN 923:2016-03, Klebstoffe - Benennungen und Definitionen; Deutsche Fassung EN 923:2015, Deutsches Institut für Normung.| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 360.",,,,,
F988F4,gekittet@de,Kittung@de|verkittet@de,"Fügetechnik, bei der Werkstücke mit Hilfe von festen Klebstoffen (Kitt) miteinander verbunden werden. Der Kitt wird in schmelzflüssiger Form auf die zu verbindenden Werkteile aufgetragen und erstarrt beim anschließenden Abkühlen. Auf diese Art bildet sich eine feste Verbindung, die durch erneutes Erwärmen des Kittes leicht wieder gelöst werden kann. Verkittungen werden oft eingesetzt, um größere Zwischenräume zu füllen, Fugen abzudichten oder als Unterlage für Treib-, Gravur- oder Ziselierarbeiten.",A15F83,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 361.",,,,,
G887B8,genietet@de,vernietet@de|Vernietung@de|Nietung@de,"Fügetechnik, bei der zwei Werkteile durch ein oder mehrere Nietstifte fest miteinander fixiert werden. Der Niet wird dafür in ein entsprechend vorbereites Loch durch beide Werkteile geführt und seine Enden aufgeweitet, wobei die Nietköpfe in unterschiedlichen Arten ausgeformt sein können (Senkniet, Halbrundniet, Flachniet, etc.). Häufig wurde der Setzkopf (Nietkopf) auf einer Seite des Nietes bereits bei der Herstellung des Nietes angelegt, im Goldschmiedehandwerk z.B. durch Anschmelzen eines Kügelchens. Bei Vernietungen mit einem Niet, sind die Werkteile unlösbar mit einander verbunden, jedoch weiterhin um den Niet herum beweglich. Bei mehreren Nieten werden die beiden Werketeile starr miteinander verbunden, sodass keine Bewegung mehr möglich ist.",A15F83,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 357| DIN 8593-5",,,,,
C5FAFF,verstiftet@de,Verstiftung@de,"Fügetechnik, bei der zwei Werkteile durch das Einführen und Fixieren eines Scharnierstiftes in ein Scharnier (oder eine ähnliche Bewegung) mit einander verbunden werden. Um den Scharnierstift zu fixieren, werden seine Enden wie bei einem Niet breitgeschmiedet. Dabei kann eines der Enden bereits vor dem Einführen des Stiftes verbreitert worden sein, im Goldschmiedehandwerk z.B. etwa durch Anschmelzen eines Kügelchens o.Ä. Im Gegensatz zur Vernietung handelt es sich bei verstifteten Verbindungen in der Regel um bewegliche Verbindungen.",A15F83,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 357",,,,,
B5D998,verschraubt@de,geschraubt@de|Schrauben@de|Verschrauben@de,"Verbindungstechnik, bei der zwei oder mehr Teile durch das Eindrehen einer Schraube miteinander verbunden werden. Dabei wird die Schraube in ein entsprechendes Gewinde des Werkstücks oder einer Mutter eingeführt, wodurch eine feste und sichere Verbindung entsteht.",A15F83,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 358 - 360.",,,,,
A6CD9G,gefalzt@de,Falzung@de,,A15F83,,,,,,,
AFFB47,gebördelt@de,Bördelung@de|Bördeln@de|umgelegt@de|Umlegen@de,"umformendes Fertigungsverfahren, bei dem der Rand eines Blechs durch plastische Verformung um eine Schlagunterlage gebogen wird. Es dient zur Verstärkung von Kanten, zur Verbindung von Bauteilen oder zur Herstellung einer glatten und sicheren Abschlusskante.",A15F83,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 249",,,,,
FC7874,gesteckt@de,Steckung@de,,A15F83,,,,,,,
B61CC6,geklammert@de,verklammert@de|Klammerung@de,,A15F83,,,,,,,
G4B128,geklemmt@de,verklemmt@de|Klemmung@de,,A15F83,,,,,,,
F93B74,laminiert@de,Laminierung (Herstellung)@de,,A15F83,,,,,,,
A2B2CD,gedübelt@de,Dübelung@de|verdübelt@de,,A15F83,,,,,,,
BD18A1,genagelt@de,Nagelung@de,,A15F83,,,,,,,
ABAD42,gezapft@de,Zapfung@de|verzapft@de,,A15F83,,,,,,,
D6DFDB,geflochten@de,Flechtung@de|verflochten@de|Flechten@de,"Verbindungstechnik, bei der drei oder mehrere Fäden, Drähte oder Bänder durch systematisches Überkreuzen zu einem textilen Gewebe verbunden werden. Je nach Art der Verflechtungen lassen sich Systeme in zwei oder mehrere Richtungen sowie zwei- oder auch dreidimensionales Flechten unterscheiden. Häufiges Produkt der Flechttechnik sind Zöpfe, Kordeln bis hin zu flächigen Textilgebilden.",A15F83,,"Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S.9, 45.",,,,,
D9G8B5,verdrillt@de|twist@en,Verdrillen@de,"Verbindungstechnik, bei der zwei oder mehr Fasern, Drähte oder Fäden durch einfaches Verdrehen von Hand miteinander verbunden werden. Diese Technik wird häufig bei der Herstellung von Seilen oder Kordeln angewendet, um die Zugfestigkeit und Stabilität des Materials zu erhöhen. Durch die Verdrehung entsteht eine gleichmäßige, widerstandsfähige Struktur, die je nach Material und Stärke der Verdrillung in ihrer Festigkeit und Elastizität variieren kann.",A15F83,,"CIETA Vocabularies - Vokabular der Textiltechniken| Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 8",,,,,
G859A7,gesponnen@de|spinning@en,Spinnen@de,"textile Fertigungstechnik, bei der Fasern oder Haare (z.B. Wolle) durch Verdrehen zu einem kontinuierlichen Faden verarbeitet werden. Dieser Prozess kann mechanisch oder manuell erfolgen und dient dazu, lose Fasern zu einem festen, belastbaren und verarbeitungsfähigen Faden zu verbinden. Gesponnene Garne bilden die Grundlage für textile Gewebe, Strickwaren oder Seile und können je nach Verwendungszweck in ihrer Feinheit, Festigkeit und Elastizität variieren.",A15F83,,"CIETA Vocabularies - Vokabular der Textiltechniken| Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 8",,,,,
D9165B,verzwirnt@de|twist@en,,"kontrollierterer und gezielterer Fertigungsprozess, zur Herstellung von Garnen/Zwirn. Dabei werden zwei oder mehr gesponnene Einzelfäden mit entgegengesetzter Drehrichtung fest miteinander verdreht (Z- oder S-Drehung), um eine stabile, gleichmäßige und glattere Struktur mit höherer Festigkeit und Elastizität zu erzeugen.",A15F83,,CIETA Vocabularies - Vokabular der Textiltechniken,,,,,
CAF8AF,gewebt@de|weave@en,Webung@de|verwebt@de|Weben@de,"textile Fertigungstechnik, bei der zwei Fadensysteme, Kette und Schuss, rechtwinklig ineinander verflochten werden, um ein stabiles Gewebe zu erzeugen. Dabei werden die Kettfäden in einem Webrahmen oder einer Webmaschine gespannt, während der Schussfaden durch sie hindurchgeführt wird.",A15F83,,"CIETA Vocabularies - Vokabular der Textiltechniken | Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S.80.",,,,,
CF39DD,Leinwandbindung@de|tabby weave@en,Taftbindung@de|Tuchbindung@de,"einfache Grundbindung in der Webtechnik, bei der jeder Schussfaden abwechselnd über und unter den Kettfäden verläuft. Diese dichte Verkreuzung sorgt für eine gleichmäßige, strapazierfähige Gewebestruktur mit hoher Reißfestigkeit. Aufgrund ihrer Robustheit und Vielseitigkeit wird die Leinwandbindung für eine Vielzahl von Textilien verwendet, darunter Baumwollstoffe, Leinen, Seide und technische Gewebe.",CAF8AF,,"CIETA Vocabularies - Vokabular der Textiltechniken| Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 96/97.",,,,,
FB7AB6,Kompositbindung@de|compound weave@en,zusammengesetzte Bindung@de|abgeleitete Bindung@de,"Gewebebindung, die sich auch verschiedenen Grundbindungsprinzipien und deren Ableitungen oder aus einem Grundgewebe und zusätzlichen Fadensystemen zusammensetzen.",CAF8AF,,"Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 103.",,,,,
DD149D,Köperbindung@de|twill weave@en,,"textile Grundbindung, die durch eine diagonale Struktur im Gewebe gekennzeichnet ist. Sie entsteht, indem der Schussfaden in einem regelmäßigen Versatz über mindestens zwei Kettfäden hinweggeführt und dann unter mindestens einen Kettfaden hindurchgeführt wird.",CAF8AF,,"CIETA Vocabularies - Vokabular der Textiltechniken | Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 98 - 101.",,,,,
G49676,Ripsbindung@de,Rips@de|Reps@de|Cannelébindung@de,"Abwandlung der Leinwandbindung, bei der durch eine gezielte Variation der Kett- oder Schussfäden eine gerippte Struktur entsteht, bei der nur eines der Fadensysteme sichtbar erscheint. Diese Rippen verlaufen entweder in Längsrichtung (Kettenrips) oder in Querrichtung (Schussrips) und verleihen dem Gewebe eine höhere Festigkeit sowie eine markante Oberflächenstruktur",CAF8AF,,"CIETA Vocabularies - Vokabular der Textiltechniken | Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 97/98.| Hermann Kühn, Erhaltung und Pflege von Kunstwerken. Material und Technik, Konservierung und Restaurierung. 3. München: Klinkhardt & Biermann, 2001, S. 221.",,,,,
FF5836,Atlasbindung@de|satin weave@en,Satinbindung@de,"textile Grundbindung, bei der die Verkreuzung von Kett- und Schussfäden eine glatte und glänzende Oberfläche erzeugt. Diese entsteht, indem der Schussfaden über mindestens vier Kettfäden hinweg verläuft um dann mit dem fünften Kettfaden zu binden. Die Bindungspunkte liegen dabei weit auseinander ohne sich zu berühren, wordurch sich eine äußerst dichte, weich fließende Struktur ergibt.",CAF8AF,,"CIETA Vocabularies - Vokabular der Textiltechniken | Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 101/102.| Hermann Kühn, Erhaltung und Pflege von Kunstwerken. Material und Technik, Konservierung und Restaurierung. 3. München: Klinkhardt & Biermann, 2001, S. 222/223.",,,,,
B2CC48,gefilzt@de,Filzung@de,"Technik bei der Fasern, meist aus Wolle oder anderen tierischen Haaren, durch mechanische Bearbeitung und Feuchtigkeit miteinander verbunden werden, ohne dass ein zusätzliches Bindemittel erforderlich ist. Durch Walken, Pressen oder Nadelfilzen verhaken sich die Fasern dauerhaft und bilden eine dichte, textile Struktur.",A15F83,,CIETA Vocabularies - Vokabular der Textiltechniken,,,,,
D1CA6B,geknotet@de,Knotung@de|verknotet@de|Verknoten@de,"Fertigungstechnik, bei der zwei oder mehrere Fäden durch straffes Anziehen von Schleifen, Verschlingungen oder Maschen miteinander verbunden werden. Knotungen können zur einfachen Verbindung loser Enden oder zur Bildung flächiger Gewebe verwendet werden.",A15F83,,"Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 25.",,,,,
C79172,geknüpft@de,Knüpfen@de,"spezielle Knotentechnik zur Stoffbildung, bei der Fäden in einer systematischen sich wiederholenden Anordnung so miteinander oder in bestehende Grundgewebe verknotet werden, dass Muster und/oder flächige textile Strukturen entstehen.",D1CA6B,,"CIETA Vocabularies - Vokabular der Textiltechniken| Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 25, 112/113.| Hermann Kühn, Erhaltung und Pflege von Kunstwerken. Material und Technik, Konservierung und Restaurierung. 3. München: Klinkhardt & Biermann, 2001, S. 227 - 230.",,,,,
D96833,gestrickt@de,Stricken@de,"Fertigungstechnik, bei der ein fortlaufender Faden mit Hilfe von Stricknadeln oder einer Maschine mit sich selbst zu einem flexiblen Maschengewebe verarbeitet wird. Dabei wird der Faden zu einzelnen Maschenreihen geformt, die ineinander verschlungen werden. Auf diese Weise entsteht ein dehnbares und elastisches Gewebe, welches sich in Muster und Struktur variieren lässt. Stricken ist eng verwandt mit der Technik des Häkelns, wobei der Unterschied in der Anzahl verwendeter Nadeln und aktiver Maschen liegt. Beim Stricken kommen zwei oder mehr Nadeln zum Einsatz, wobei jeweils mehrere Maschen gleichzeitig auf der Nadel gehalten werden.",A15F83,,"Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 9, 32/33. | Hermann Kühn, Erhaltung und Pflege von Kunstwerken. Material und Technik, Konservierung und Restaurierung. 3. München: Klinkhardt & Biermann, 2001, S. 227.",,,,,
B24ADG,gehäkelt@de,Häkelung@de|Häkeln@de,"Fertigungstechnik, bei der ein fortlaufender Faden durch Bilden von Schlingen und Maschen zu einem flexiblen Gewebe verarbeitet wird. Dabei können eine Reihe unterschiedlicher Maschenformen (Luftmaschen, Kettenmaschen, feste Maschen, etc.) variiert und kombiniert werden, wodurch sich eine dichte, oft strukturierte Oberfläche mit vielfältigen Mustermöglichkeiten ergibt. Die Technik kann dabei nur mit den Fingern oder mit Hilfe einer speziellen Nadel mit kleinem Häkchen ausgeführt werden. Häkeln ist eng verwandt mit Stricken. Im Unterschied zum Stricken wird beim Häkeln jedoch nur eine einzelne Häkelnadel (oder Finger) genutzt, wodurch stets nur eine Masche aktiv bearbeitet wird und ein dichteres und stabileres Gewebe entsteht.",A15F83,,"Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 9, 31/32. | Hermann Kühn, Erhaltung und Pflege von Kunstwerken. Material und Technik, Konservierung und Restaurierung. 3. München: Klinkhardt & Biermann, 2001, S. 227.",,,,,
C26D24,genäht@de,vernäht@de|Nähen@de,"Fügetechnik, bei der zwei oder mehr Materialien mit Hilfe eines fortlaufenden Fadens und eines spitzen Werkzeugs (z.B. Nadel) durch mehrmaliges Durchstechen miteinander verbunden werden. Die Technik erzeugt eine Naht, die nicht nur funktionale sondern auch dekorative Zwecke erfüllen kann.",A15F83,,"Annemarie Seiler-Baldinger, Systematik der Textilen Techniken. Basler Beiträge zur Ethnologie 32. Basel: Wepf, 1991, S. 160.",,,,,
AGG387,formgebende Technik@de,Formung@de|Formgebungstechnik@de,"Oberbegriff für Verfahren und Methoden, mit denen Materialien in eine gewünschte Form gebracht werden.",F8F594,,,,,,,
BA1BB6,gemeißelt@de,Meißelung@de|Meißeln@de,,AGG387,,,,,,,
BC92AG,gesägt@de,Sägung@de|Sägen@de,"spangebendes Trennverfahren, bei dem ein Werkstück mithilfe eines sägeartigen Werkzeugs durch eine Vielzahl feiner Schneidzähne bearbeitet wird. Dabei werden durch kreisförmige oder gerade Schnittbewegungen Materialspäne entlang der Trennlinie abgetragen, um das Werkstück in die gewünschte Form oder Größe zu bringen. Dieses Verfahren eignet sich für eine Vielzahl von Materialien und wird mit unterschiedlichen Ausführungen von Werkzeugen wie Handsägen, Bandsägen oder Kreissägen durchgeführt.",AGG387,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 204 - 206.| DIN 8589-6, Fertigungsverfahren Spanen - Teil 6: Sägen; Einordnung, Unterteilung, Begriffe, Deutsches Institut für Normung.",,,,,
AC319F,gebohrt@de|drilling@en,Bohrung@de|Bohren@de,"spangebendes Fertigungsverfahren, bei dem mit einem rotierenden Werkzeug (Bohrer) zylindrische Löcher in ein Werkstück eingebracht werden. Dabei wird Material durch eine Kombination aus Vorschubbewegung und Rotation des Bohrers entfernt. Es ist ein grundlegendes Verfahren zur Herstellung von Öffnungen in Metall, Holz, Kunststoff oder anderen Materialien.",AGG387,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 214 - 219.| DIN 8589-2, Fertigungsverfahren Spanen - Teil 2: Bohren, Senken, Reiben; Einordnung, Unterteilung, Begriffe, Deutsches Institut für Normung.",,,,,
C3FGBG,gefeilt@de,Feilung@de|Feilen@de,"spangebendes Formungserfahren, bei dem Material von der Oberfläche eines Werkstücks durch die wiederholte Bewegung eines Werkzeugs (Feile) mit vielen kleinen, scharfen Schneidezähnen entfernt wird. Es dient zur Formgebung oder Glättung von Werkstücken aus Metall, Holz oder Kunststoff. Als Werkzeuge für dieses Verfahren kommen eine Reihe verschieden geformter und mit feiner oder gröberen Hieb versehener Feilen zum Einsatz.",AGG387,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 207 - 214.| DIN 8589-7, Fertigungsverfahren Spanen - Teil 7: Feilen, Raspeln; Einordnung, Unterteilung, Begriffe. Deutsches Institut für Normung.",,,,,
G56825,gefräst@de,Fräsen@de|Fräsung@de,"spangebendes Fertigungsverfahren, bei dem Material von einem Werkstück durch die rotierende Bewegung eines mehrschneidigen Werkzeugs (Fräser) bei gleichzeitig verlaufender Vorschubbewegung abgetragen wird. Dabei kann der Fräser und/oder das Werkstück in verschiedenen Achsen bewegt werden, um komplexe Geometrien und Oberflächen herzustellen. Dieses Verfahren wird häufig zur Formgebung von Metallen, Kunststoffen und anderen Werkstoffen eingesetzt, wobei je nach Material und angestrebter Form unterschiedlich geformte Fräser eingesetzt werden.",AGG387,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 219 - 221.| DIN 8589-3, Fertigungsverfahren Spanen - Teil 3: Fräsen; Einordnung, Unterteilung, Begriffe, Deutsches Institut für Normung.",,,,,
B4AFF6,durchgeschlagen@de,,,AGG387,,,,,,,
D642BC,geschabt@de,Schabung@de|Schaben@de,,AGG387,,,,,,,
G7497F,geschliffen [Formgebung]@de,Schliff@de|Schleifen@de,"spanabhebendes Formungsverfahren, bei dem Material mit Hilfe von Schleifwerkzeugen (Schleifmittelträger, auf dem eine Vielzahl von harten Schleifkörnern in gebundener oder loser Form aufgebracht sind) von der Oberfläche eines Werkstücks entfernt wird. Dabei wirken die scharfen, geometrisch unbestimmten Kanten und Schneiden der Schleifkörner auf das Material ein und lösen dabei feine Späne ab. Dabei können mechanische Schleifmedien oder elektronisch rotierende Schleifwerkzeuge mit unterschiedlich groben/großen Schleifkörnern verwendet werden, je nach angestrebter Formgebung.",AGG387,,,,,,,
ADB89D,gespalten@de,Spaltung@de|Spalten@de,"Trennvorgang an Materialen (z.B Holz, Stein) oft unter Nutzung natürlicher Schwachstellen/Wachstumslinien/Sedimentlagern. Bei Holz wird der Spaltvorgang radial ausgeführt und folgt den Wachstumsstrukturen (Holzstrahlen). Daher werden die Holzstrahlen nicht verletzt/getrennt wie beim Sägen, das gewonnene Werkstück ist besonders stabil und bruchfest.",AGG387,,,,,,,
D44BAD,gedreht@de,Drehen@de,"spanabhebendes Fertigungsverfahren, bei dem das Werkstück auf einer Drehmaschine in Rotation versetzt wird, während ein einschneidiges Werkzeug Material abträgt. Die Formgebung erfolgt durch die quer zur Rotationsbewegung des Werkstücks ausgeführte Vorschubbewegung eines Werkzeugs entlang der Werkstückoberfläche, wodurch zylindrische, kegelförmige oder profilierte Bauteile hergestellt werden können. Dieses Verfahren wird häufig für die Bearbeitung von Metall, Kunststoff oder Holz eingesetzt und eignet sich besonders für die Herstellung rotationssymmetrischer Teile.",AGG387,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 221 - 225.| DIN 8589-1,
Fertigungsverfahren Spanen - Teil 1: Drehen; Einordnung, Unterteilung, Begriffe, Deutsches Institut für Normung.",,,,,
BA73A2,gegossen@de,Guss@de,"Technik, bei der flüssiges Material in eine vorgefertigte Form eingefüllt oder auf eine Oberfläche aufgetragen wird. Das flüssige Material erstarrt dabei in der entsprechend vorgegebenen Form.",AGG387,,"DIN ISO 1382| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 148.",,,,,
CAB27G,Kokillen-Guss@de,verdeckter Herdguss@de,"Gießverfahren, bei dem geschmolzenes Metall in eine wiederverwendbare, meist aus Stahl oder Gusseisen gefertigte Dauerform (Kokille) gegossen wird. Dieses Verfahren eignet sich besonders für die Herstellung von Halbzeugen wie Blech- oder Drahtrohlinge.",BA73A2,,"DIN ISO 1382| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 153/154.",,,,,
B9741A,Schalenguss@de,,,BA73A2,,,,,,,
BGC8F3,Guss in verlorener Form@de,,"Oberbegriff für Gusstechniken, bei denen die Gussform zerstört werden muss, um das Werkstück entnehmen zu können, bzw. die Form nur einem einzigen Ausguss standhält.",BA73A2,,"DIN ISO 1382| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 155.",,,,,
D51358,Ossa-Sepia Guss@de,,"Gusstechnik, bei der der Rückenschulp (Rückenschale) des gemeinen Tintenfischs (Sepia officinalis) als Formmaterial verwendet wird. Auf der einen Seite hat die Sepia eine dünne harte Kruste, auf der anderen Seite ist sie weich. Auf der weichen Seite kann durch Eindrücken eines Modells eine Negativform erstellt werden, die anschließend mit flüssigem Metall ausgegossen wird. Ebenfalls kann eine zweiteilige Form erstellt werden, indem die Sepiaschale quer durchgeschnitten und die weiche Seiteplaniert wird. Das Modell wird daraufhin so in beide Formhälften gedrückt, dass es in jeder Hälfte etwa bis zur Mitte eingebettet ist. Nach der Entnahme des Modells muss nun ein Einguss in die Sepiaschale geschnitten werden und beide Schalenhälften fest mit einer Klammer oder Draht zusammengepresst werden, bevor das heiße Metall eingefüllt werden kann. Die Form ist nicht wiederverwendbar, da das heiße Metall das weiche Sepiamaterial verbrennt.",BGC8F3,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 155 - 157.",,,,,
